Timestamp(ms),Current(uA),D0-D7
718.72,14055.726,00000000
718.73,14197.667,00000000
718.74,14103.027,00000000
718.75,14245.006,00000000
718.76,14245.006,00000000
718.77,14008.437,00000000
718.78,14055.726,00000000
718.79,13913.895,00000000
718.8,14055.726,00000000
718.81,14055.726,00000000
718.82,14245.006,00000000
718.83,14150.341,00000000
718.84,14339.720,00000000
718.85,14197.667,00000000
718.86,14055.726,00000000
718.87,13913.895,00000000
718.88,14245.006,00000000
718.89,14245.006,00000000
718.9,14055.726,00000000
718.91,14008.437,00000000
718.92,14292.356,00000000
718.93,14008.437,00000000
718.94,14103.027,00000000
718.95,14292.356,00000000
718.96,14197.667,00000000
718.97,14339.720,00000000
718.98,14103.027,00000000
718.99,14103.027,00000000
719,14008.437,00000000
719.01,14197.667,00000000
719.02,14197.667,00000000
719.03,14150.341,00000000
719.04,14103.027,00000000
719.05,14150.341,00000000
719.06,14055.726,00000000
719.07,13913.895,00000000
719.08,13961.159,00000000
719.09,14150.341,00000000
719.1,14245.006,00000000
719.11,14245.006,00000000
719.12,14103.027,00000000
719.13,14008.437,00000000
719.14,13961.159,00000000
719.15,14103.027,00000000
719.16,14245.006,00000000
719.17,14055.726,00000000
719.18,14103.027,00000000
719.19,14008.437,00000000
719.2,13819.402,00000000
719.21,14055.726,00000000
719.22,14292.356,00000000
719.23,14150.341,00000000
719.24,14245.006,00000000
719.25,14008.437,00000000
719.26,14103.027,00000000
719.27,14103.027,00000000
719.28,14245.006,00000000
719.29,14387.095,00000000
719.3,14150.341,00000000
719.31,14197.667,00000000
719.32,14008.437,00000000
719.33,13961.159,00000000
719.34,13866.643,00000000
719.35,13961.159,00000000
719.36,14245.006,00000000
719.37,14481.882,00000000
719.38,14339.720,00000000
719.39,14103.027,00000000
719.4,14197.667,00000000
719.41,14103.027,00000000
719.42,14245.006,00000000
719.43,14008.437,00000000
719.44,14197.667,00000000
719.45,14150.341,00000000
719.46,13866.643,00000000
719.47,14245.006,00000000
719.48,14197.667,00000000
719.49,14103.027,00000000
719.5,14008.437,00000000
719.51,14055.726,00000000
719.52,14197.667,00000000
719.53,14008.437,00000000
719.54,14103.027,00000000
719.55,13913.895,00000000
719.56,14103.027,00000000
719.57,13961.159,00000000
719.58,14150.341,00000000
719.59,14055.726,00000000
719.6,14339.720,00000000
719.61,14103.027,00000000
719.62,13819.402,00000000
719.63,14008.437,00000000
719.64,13961.159,00000000
719.65,13961.159,00000000
719.66,14339.720,00000000
719.67,14292.356,00000000
719.68,14150.341,00000000
719.69,14292.356,00000000
719.7,14103.027,00000000
719.71,14197.667,00000000
719.72,13961.159,00000000
719.73,14150.341,00000000
719.74,14339.720,00000000
719.75,14150.341,00000000
719.76,14055.726,00000000
719.77,14103.027,00000000
719.78,14197.667,00000000
719.79,14292.356,00000000
719.8,14150.341,00000000
719.81,13961.159,00000000
719.82,14055.726,00000000
719.83,14150.341,00000000
719.84,14055.726,00000000
719.85,14150.341,00000000
719.86,14103.027,00000000
719.87,14245.006,00000000
719.88,14055.726,00000000
719.89,14055.726,00000000
719.9,14008.437,00000000
719.91,14197.667,00000000
719.92,14055.726,00000000
719.93,14197.667,00000000
719.94,14055.726,00000000
719.95,14055.726,00000000
719.96,14055.726,00000000
719.97,14103.027,00000000
719.98,14339.720,00000000
719.99,14339.720,00000000
720,14150.341,00000000
720.01,14055.726,00000000
720.02,14055.726,00000000
720.03,13961.159,00000000
